ID;weibo_poiid;;dianping_id;;classification;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count
109;B2094752D56EA3FA429D;;;;0;香格里拉酒店;;北京市海淀区紫竹院路29号;;;;;39.896427;116.387155;39.89502855;116.3809178;;;35;
110;B2094452DB6FA1FC499F;;14753184;;2;铃木食堂(前门店);铃木食堂(杨梅竹店);大栅栏杨梅竹斜街10-14;煤市街杨梅竹斜街10-14;日本菜;前门;;39.89588;116.39339;39.89447833;116.3871493;;;58;1269
111;B2094750D36BA5F5459A;;;;0;北京五轮剑道馆;;场馆1：朝阳区麦子店西街39号-场馆2：海淀区海淀大街27号亿景大厦-场馆3-：朝阳区劲松桥富顿中心D座212;;;;;39.89645024;116.3929146;39.89504873;116.3866741;;;12;
112;B2094451D169A6FB469E;;21944666;;2;渔芙南;;北京市西城区杨梅竹斜街166号;;;;;39.89491;116.38949;39.89351022;116.3832515;;;50;338
113;B2094753D769AAFF459F;;3546289;;2;东来顺饭庄(大栅栏店);东来顺饭庄(大栅栏店);北京市西城区大栅栏7号吉龙老栅栏商城2楼;大栅栏7号吉龙老栅栏商城2楼;火锅;前门;;39.893602;116.390615;39.89220168;116.384376;;;11;4936
114;B2094450D769A2FC459F;;17676938;;2;壹勺子糖;壹勺子糖Spoonful Of Sugar;北京市西城区大栅栏铁树斜街59号;大栅栏铁树斜街59号;咖啡厅;宣武门;58;39.8934;116.38909;39.89200051;116.3828519;;;50;265
115;B2094750D76CA3F54198;;5616524;;2;秋林菜馆;秋林菜馆;东城区前门大栅栏地区铁树斜街75号;前门大栅栏地区铁树斜街75号;鲁菜;前门;;39.893;116.388;39.89160118;116.3817627;;;7;41
116;B2094753D768A2FB489F;;;;2;上林仙居;;北京市 陕西巷22号;;;;;39.892807;116.390007;39.89140704;116.3837684;;;77;
117;B2094753D368A5FD469E;;3621343;;4;连升商务酒店;连升商务酒店;东城区前门大栅栏西街32号;前门大栅栏西街32号;经济型;前门;;39.895236;116.393455;39.89383434;116.3872144;;;7;99
118;B2094654D36EABFA469D;;4284669;;4;京御园宾馆;京御园宾馆;东城区大栅栏西街56号;大栅栏西街56号;经济型;前门;;39.89485;116.3927;39.89344866;116.3864597;;;4;38
119;;;8023148;;1;北京兔爷儿;;杨梅竹斜街19号;;;;68;;;39.89789286;116.3788241;;;;15
120;;;23043789;;1;书的设计店;;杨梅竹斜街23号;;;;29;;;39.89826231;116.3795735;;;;1
121;;;18363790;;1;Twelve Moons;;杨梅竹斜街27号;;;;69;;;39.89882439;116.3794215;;;;7
122;;;23965480;;1;Taciturnli;TACITURNLI-YANGMEIZHU store;杨梅竹斜街27号;大栅栏杨梅竹斜街27号二层5-7;服饰鞋包;前门;31;;;39.89794316;116.3784045;;;;4
123;;;21967048;;1;Triple-Major;;杨梅竹斜街26号;;;;33;;;39.89786316;116.3784145;;;;7
124;;;20647425;;1;模范书局;;杨梅竹斜街31号;;;;;;;39.89873158;116.3806126;;;;34
125;;;8869873;;1;采瓷坊;采瓷坊工艺品商行;杨梅竹斜街35号;前门外大栅栏杨梅竹斜街35号;更多购物场所;前门;70;;;39.89896976;116.3836405;;;;2
126;;;17763346;;1;米念;米念设计商店&工作室;杨梅竹斜街48号;大栅栏杨梅竹斜街48号;DIY手工坊;前门;36;;;39.89833817;116.3871188;;;;7
127;;;6433272;;1;Ubi Gallery;;杨梅竹斜街62号;;;;38;;;39.89887801;116.3874586;;;;10
128;;;11253076;;1;济安斋书店;济安斋咖啡书吧;杨梅竹斜街68-70号;杨梅竹斜街68-70号;咖啡厅;前门;;;;39.89863893;116.3853296;;;;38
129;;;18691370;;1;LI+U Workshop;;杨梅竹斜街82号;;;;;;;39.89816817;116.3871369;;;;1
130;;;21665778;;2;Berry Beans;Berrybeans;朱家胡同7号;朱家胡同7号;咖啡厅;前门;57;;;39.89829827;116.3868689;;;;217
131;;;27231893;;2;生活室;生活室咖啡 Living Room Coffee;炭儿胡同23号;炭儿胡同23号;咖啡厅;前门;71;;;39.89833817;116.3871088;;;;24
132;;;9314910;;3;一个人的剧场魁德社;;延寿街甲7号;;;;74;;;39.89835867;116.3859094;;;;4
